Name,IATA code,UN code,Time zone,Latitude,Longitude,Country
MOSSORO,MVF,MVF,America/Fortaleza,-5.18333,-37.33333,Brazil
MONTEVIDEO,MVE,MVE,America/Chicago,44.95,-95.71667,United States
MONTEVIDEO,MVD,MVD,America/Montevideo,-34.83833,-56.03083,Uruguay
MONROEVILLE,MVC,MVC,America/Chicago,31.65,-91.73333,United States
FRANCEVILLE,MVB,MVB,Africa/Libreville,0.66667,11.01667,Gabon
MYVATN,MVA,MVA,Atlantic/Reykjavik,65.65583,-16.91806,Iceland
MUSOMA,MUZ,MUZ,Africa/Dar_es_Salaam,-1.5,33.8,"Tanzania, United Republic of"
MOUYONDZI,MUY,MUY,Africa/Brazzaville,-3.98333,13.91667,Congo
MWANZA,MWZ,MWZ,Africa/Dar_es_Salaam,-2.45,32.93333,"Tanzania, United Republic of"
MIRANDA DOWNS,MWY,MWY,Australia/Brisbane,-17.36667,141.8667,Australia
MUAN,MWX,MWX,Asia/Seoul,34.99139,126.3828,"Korea, Republic of"
MONDULKIRI,MWV,MWV,Asia/Phnom_Penh,12.45,107.1833,Cambodia
MUSSAU ISLAND,MWU,MWU,Pacific/Port_Moresby,-1.5,149.6667,Papua New Guinea
MOOLAWATANA,MWT,MWT,Australia/Adelaide,-29.91667,139.7167,Australia
MOUNT WILSON,MWS,MWS,America/Denver,33.16667,-105.8333,United States
MOTSWARI,MWR,MWR,null,-30.41667,-25.2,South Africa
MAGWAY,MWQ,MWQ,Asia/Rangoon,20.16667,94.93333,Myanmar
Mountain,,MWP,Asia/Katmandu,,,Nepal
MIDDLETOWN,MWO,MWO,America/New_York,39.51667,-84.41667,United States
MWADUI,MWN,MWN,Africa/Dar_es_Salaam,-3.55,33.6,"Tanzania, United Republic of"
WINDOM,MWM,MWM,America/Chicago,43.91667,-95.1,United States
MINERAL WELLS,MWL,MWL,America/Chicago,32.78333,-98.06667,United States
MATAK,MWK,MWK,TimeZoneNotFound,3.28333,106.3,Indonesia
MATTHEWS RIDGE,MWJ,MWJ,America/Guyana,6.55,-59.9,Guyana
MARAMUNI,MWI,MWI,Pacific/Port_Moresby,-9.5,147.1167,Papua New Guinea
MOSES LAKE,MWH,MWH,America/Los_Angeles,47.08333,-119.25,United States
MARAWAKA,MWG,MWG,Pacific/Port_Moresby,-6.96667,145.9,Papua New Guinea
MAEWO ISLAND,MWF,MWF,Pacific/Efate,-15,168.0833,Vanuatu
MEROWE,MWE,MWE,Africa/Khartoum,18.66667,31.8,Sudan
MIANWALI,MWD,MWD,Asia/Karachi,32.58333,71.55,Pakistan
MORAWA,MWB,MWB,Australia/Perth,-29.2,116.0167,Australia
MARION,MWA,MWA,America/Chicago,37.75,-89.01667,United States
FERA ISLAND,FRE,FRE,Pacific/Guadalcanal,-8.1,159.5833,Solomon Islands
MASVINGO,MVZ,MVZ,Africa/Harare,-20.06667,30.83333,Zimbabwe
MEIXIAN,MXZ,MXZ,Asia/Chongqing,24.35,116.1333,China
MCCARTHY,MXY,MXY,America/Anchorage,61.41667,-142.9167,United States
MORA,MXX,,Europe/Stockholm,61,14.55,Sweden
MANDALGOVI,MXW,MXW,Asia/Ulaanbaatar,45.75,106.2,Mongolia
MORON,MXV,MXV,Asia/Ulaanbaatar,49.63333,100.1667,Mongolia
MULLEWA,MXU,MXU,Australia/Perth,-28.55,115.5167,Australia
MAINTIRANO,MXT,MXT,Indian/Antananarivo,-18.05,44.03333,Madagascar
MAOTA,MXS,MXS,Pacific/Apia,-13.73333,-172.25,Samoa
MYRHOROD,MXR,MXR,Europe/Kiev,49.96667,33.6,Ukraine
MONTICELLO,MXO,MXO,America/New_York,41.65,-74.68333,United States
MORLAIX,MXN,MXN,Europe/Paris,48.60083,-3.81667,France
MOROMBE,MXM,MXM,Indian/Antananarivo,-21.75,43.36667,Madagascar
MEXICALI,MXL,MXL,America/Tijuana,32.65,-115.45,Mexico
MINDIK,MXK,MXK,Pacific/Port_Moresby,-6.21667,147.6167,Papua New Guinea
