Name,IATA code,UN code,Time zone,Latitude,Longitude,Country
BELL ISLAND,KBE,KBE,America/Anchorage,65.48528,-144.6106,United States
KIMBERLEY DOWNS STATION,KBD,KBD,Australia/Perth,-17.4,124.3667,Australia
Trencin,,TRE,Europe/Bratislava,48.53,18.03,Slovakia
BIRCH CREEK,KBC,KBC,America/Anchorage,66.26667,-145.8,United States
KIRKIMBIE STATION,KBB,KBB,Australia/Darwin,-17.76667,129.2167,Australia
Treuchtlingen,,TRE,Europe/Berlin,,,Germany
KABALA,KBA,KBA,Africa/Freetown,9.58333,-11.55,Sierra Leone
Donaueschingen,,DEN,Europe/Berlin,47.57,8.3,Germany
Kamenz,,KAZ,Europe/Berlin,,,Germany
WAKAYA ISLAND,KAY,KAY,Pacific/Fiji,-17.61667,179,Fiji
KALBARRI,KAX,KAX,Australia/Perth,-27.86667,114.1333,Australia
KAWTHAUNG,KAW,KAW,Asia/Bangkok,10.05,98.53333,Myanmar
Kavalerovo,,KAV,Asia/Vladivostok,44.15,135.03,Russian Federation
Kaufbeuren,,KAU,Europe/Berlin,,,Germany
KAITAIA,KAT,KAT,Pacific/Auckland,-35.06667,173.2833,New Zealand
KARASBURG,KAS,KAS,Africa/Windhoek,-28,18.71667,Namibia
KAMARANG,KAR,KAR,America/Guyana,5.88333,-60.61667,Guyana
KAMULAI,KAQ,KAQ,Pacific/Port_Moresby,-8.13333,146.8167,Papua New Guinea
KAPANGA,KAP,KAP,Africa/Lubumbashi,-8.33333,22.66667,"Congo, the Democratic Republic of the"
KUUSAMO,KAO,KAO,Europe/Helsinki,65.96667,29.33333,Finland
Richmond Heights,,RMS,America/New_York,41.33,-81.3,United States
Kandy,,KAN,Asia/Colombo,,,Sri Lanka
KAMARAN ISLAND,KAM,KAM,Asia/Aden,15.36667,42.58333,Yemen
Kalundborg,,KAL,Europe/Copenhagen,,,Denmark
KAR,KAK,KAK,Pacific/Port_Moresby,-6.23333,143.4833,Papua New Guinea
KAJAANI,KAJ,KAJ,Europe/Helsinki,64.28333,27.68333,Finland
KAIETEUR,KAI,KAI,America/Guyana,5.15,-59.48333,Guyana
GANGNEUNG,KAG,KAG,Asia/Seoul,37.75,128.95,"Korea, Republic of"
KUCHING,KCH,KCH,Asia/Kuala_Lumpur,1.48333,110.3333,Malaysia
KADANWARI,KCF,KCF,Asia/Karachi,27.2,69.15,Pakistan
COLLINSVILLE,KCE,KCE,Australia/Brisbane,-20.55,147.8667,Australia
KAMUR,KCD,,Asia/Jayapura,-6.2,138.7167,Indonesia
COFFMAN COVE,KCC,KCC,America/Anchorage,56,-132.8333,United States
KASIKASIMA,KCB,KCB,America/Paramaribo,3.15,-55.71667,Suriname
KUQA,KCA,KCA,Asia/Chongqing,41.56667,82.73333,China
PETERSBURG,PTB,PTB,America/New_York,37.18333,-77.51667,United States
KAIKOURA,KBZ,KBZ,Pacific/Auckland,-42.41667,173.6833,New Zealand
AYAMARU,KBX,,Asia/Jayapura,-1,132.25,Indonesia
KRABI,KBV,KBV,Asia/Bangkok,8.01667,98.8,Thailand
KOTABARU,KBU,KBU,Asia/Makassar,-3.23333,116.2167,Indonesia
KABEN ISLAND,KBT,KBT,Pacific/Majuro,8.9,170.85,Marshall Islands
Bo,,KBS,Africa/Freetown,,,Sierra Leone
KOTA BHARU,KBR,KBR,Asia/Kuala_Lumpur,6.16667,102.2833,Malaysia
KASUNGU,KBQ,KBQ,Africa/Blantyre,-13.01667,33.46667,Malawi
KABALO,KBO,KBO,Africa/Lubumbashi,-6.08333,26.91667,"Congo, the Democratic Republic of the"
KABINDA,KBN,KBN,Africa/Lubumbashi,-6.11667,24.53333,"Congo, the Democratic Republic of the"
KABWUM,KBM,KBM,Pacific/Port_Moresby,-6.4,147.3667,Papua New Guinea
KABUL,KBL,KBL,Asia/Kabul,34.56667,69.2,Afghanistan
KINGS CANYON,KBJ,KBJ,Australia/Darwin,-14.48333,132.3333,Australia
KRIBI,KBI,KBI,Africa/Douala,2.86667,9.98333,Cameroon
KENDARI,KDI,KDI,Asia/Makassar,-4,122.8333,Indonesia
KANDAHAR,KDH,KDH,Asia/Kabul,31.5,65.85,Afghanistan
KOROBA,KDE,KDE,Pacific/Port_Moresby,-5.68333,142.7333,Papua New Guinea
KHUZDAR,KDD,KDD,Asia/Karachi,27.8,66.6,Pakistan
KANDI,KDC,KDC,Africa/Porto-Novo,11.13333,2.93333,Benin
KAMBALDA,KDB,KDB,Australia/Perth,-31.2,121.6667,Australia
KOLDA,KDA,KDA,Africa/Dakar,12.88333,-14.96667,Senegal
KOCHI,KCZ,KCZ,Asia/Tokyo,33.55,133.6833,Japan
MASINDI,KCU,KCU,Africa/Kampala,1.68333,31.71667,Uganda
KOGGALA,KCT,KCT,Asia/Colombo,5.98444,80.33194,Sri Lanka
KINGS CREEK STATI,KCS,KCS,Australia/Darwin,-24.38333,131.6833,Australia
COLORADO CREEK,KCR,KCR,America/Anchorage,64.5,-165.4,United States
KAMIANETS PODILSKIY,KCP,KCP,Europe/Kiev,48.68333,26.61667,Ukraine
KOCAELI,KCO,KCO,Europe/Istanbul,40.73333,30.08333,Turkey
CHERNOFSKI HARBOR,KCN,KCN,America/Anchorage,53.39889,-167.5517,United States
KAHRAMANMARAS,KCM,KCM,Europe/Istanbul,37.54444,36.95556,Turkey
CHIGNIK,KCL,KCL,America/Anchorage,56.3,-158.5333,United States
KIRENSK,KCK,,Asia/Irkutsk,57.77,108.06,Russian Federation
KOMAIO,KCJ,KCJ,Pacific/Port_Moresby,-7.26667,143.6,Papua New Guinea
KUN,KCI,,Asia/Jayapura,-2.53333,140.7,Timor-Leste
Hondo,,XGN,America/Chicago,,,United States
Nangis,,NAG,Europe/Paris,48.33,3,France
Treviso,,TRV,Europe/Rome,45.4,12.14,Italy
PORTIMAO,PRM,PRM,Europe/Lisbon,37.13333,-8.53333,Portugal
SOUTH INDIAN LAKE,XSI,XSI,America/Winnipeg,56.76667,-98.95,Canada
SEBBA,XSE,SEB,Africa/Ouagadougou,13.43333,0.53333,Burkina Faso
SOUTH CAICOS,XSC,XSC,America/Grand_Turk,21.5,-71.5,Turks and Caicos Islands
GALION,GQQ,GQQ,America/New_York,40.73333,-82.8,United States
Saint-Malo,XSB,SML,Asia/Dubai,48.39,-2.01,France
JEREZ,XRY,,Europe/Madrid,36.74472,-6.06,Spain
ROSS RIVER,XRR,,America/Vancouver,61.98333,-132.45,Canada
GRAND RAPIDS,GPZ,GPZ,America/Chicago,47.21667,-93.51667,United States
Usti nad Labem,,ULN,Europe/Prague,50.4,14.02,Czech Republic
TADOULE LAKE,XTL,XTL,America/Winnipeg,58.6,-98.33333,Canada
GRAZ,GRZ,GRZ,Europe/Vienna,46.99361,15.44,Austria
GRIMSEY,GRY,GRY,Atlantic/Reykjavik,66.55472,-18.0175,Iceland
GRANADA,GRX,GRX,Europe/Madrid,37.18861,-3.77722,Spain
GRACIOSA ISLAND,GRW,GRW,Atlantic/Azores,39.06667,-28,Portugal
THARGOMINDAH,XTG,XTG,Australia/Brisbane,-27.96667,143.8333,Australia
Grytviken,,GRV,Atlantic/South_Georgia,-54.16,-36.3,South Georgia and the South Sandwich Islands
GUJRAT,GRT,GRT,Asia/Karachi,32.56667,74.08333,Pakistan
GROSSETO,GRS,GRS,Europe/Rome,42.75972,11.07194,Italy
Hamamatsu,,HMM,Asia/Tokyo,,,Japan
GRAND RAPIDS,GRR,GRR,America/New_York,42.88333,-85.53333,United States
GRONINGEN,GRQ,GRQ,Europe/Amsterdam,53.13333,6.58333,Netherlands
GURUPI,GRP,GRP,America/Fortaleza,-11.66667,-49.21667,Brazil
GIRONA,GRO,GRO,Europe/Madrid,41.90083,2.76056,Spain
GORDON,GRN,GRN,America/Denver,42.8,-102.2,United States
GRAND MARAIS,GRM,GRM,America/Chicago,47.75,-91.33333,United States
GARASA,GRL,GRL,Pacific/Port_Moresby,-7.95,147.1833,Papua New Guinea
SETUBAL,XSZ,,America/Chicago,46.45,-97.68333,Portugal
GEORGE,GRJ,GRJ,Africa/Johannesburg,-33.96667,22.41667,South Africa
GRAND ISLAND,GRI,GRI,America/Chicago,40.96667,-98.31667,United States
GARUAHI,GRH,GRH,Pacific/Port_Moresby,-10.31667,150.6833,Papua New Guinea
GARDEZ,GRG,GRG,Asia/Kabul,33.61667,69.11667,Afghanistan
GREENVILLE,GRE,GRE,America/Chicago,38.88333,-89.41667,United States
Saumur,XSU,SAU,Europe/Paris,,,France
GREENWOOD,GRD,GRD,America/New_York,34.25,-82.15,United States
GRAND CESS,GRC,GRC,Africa/Monrovia,4.6,-8.16667,Liberia
Grimbergen,,GRB,Europe/Brussels,50.56,4.23,Belgium
GAMARRA,GRA,GRA,America/Bogota,8.2,-73.78333,Colombia
SIOCON,XSO,XSO,Asia/Manila,7.7,122.1333,Philippines
ST MARYS,XSM,XSM,America/New_York,38.28333,-76.63333,United States
GRIMSBY,GSY,GSY,Europe/London,51.33333,0.03333,United Kingdom
Guasave,,GSV,America/Mazatlan,25.34,-108.27,Mexico
GEDAREF,GSU,GSU,Africa/Khartoum,14.13333,35.31667,Sudan
GUSTAVUS,GST,GST,America/Anchorage,58.41667,-135.7,United States
SABIE,GSS,GSS,Africa/Johannesburg,-25.11667,30.8,South Africa
GARDO,GSR,GSR,Africa/Mogadishu,9.51667,49.08333,Somalia
SHARK EL OWAINAT,GSQ,GSQ,Africa/Cairo,22.58333,28.71667,Egypt
Goteborg,GSP,GOT,America/New_York,57.43,11.58,Sweden
GREENSBORO/HIGH POINT,GSO,GSO,America/New_York,36.05,-79.83333,United States
MOUNT GUNSON,GSN,GSN,Australia/Adelaide,-31.86667,138.2,Australia
GHESHM ISLAND,GSM,GSM,Asia/Tehran,26.94833,56.2775,"Iran, Islamic Republic of"
TALTHEILEI,GSL,GSL,America/Denver,35.85,-111.5333,Canada
PUERTO SAN JOSE,GSJ,,America/Guatemala,13.93611,-90.83583,Guatemala
GRAND-SANTI,GSI,,America/Cayenne,4.28333,-54.38111,French Guiana
GOSHEN,GSH,GSH,America/New_York,41.58333,-85.83333,United States
GASCOYNE JUNCTION,GSC,GSC,Australia/Perth,-25.05,115.2,Australia
GOLDSBORO,GSB,GSB,America/New_York,35.33917,-77.96056,United States
TARA,XTR,XTR,Australia/Brisbane,-27.28333,150.4667,Australia
LONG PASIA,GSA,GSA,Asia/Kuala_Lumpur,5.33333,117.1667,Malaysia
TAROOM,XTO,XTO,Australia/Brisbane,-25.66667,149.75,Australia
Verdun,XVN,VRD,Europe/Paris,,,France
VINH LONG,XVL,,Asia/Saigon,10.25,105.95,Viet Nam
GRUMETI,GTZ,,Africa/Dar_es_Salaam,-2.16528,34.22778,"Tanzania, United Republic of"
GETTYSBURG,GTY,GTY,America/New_York,39.83333,-77.23333,United States
STEVENAGE,XVJ,STV,Europe/London,51.91667,-0.23333,United Kingdom
ZLIN,GTW,,Europe/Prague,49.31444,17.56889,Czech Republic
PETERBOROUGH,XVH,PET,Europe/London,52.58333,-0.25,United Kingdom
Villefranche-sur-Saone,XVF,VSS,Europe/Paris,45.59,4.43,France
GEORGETOWN,GTT,GTT,Australia/Brisbane,-18.41667,143.7833,Australia
THE GRANITES,GTS,GTS,Australia/Adelaide,-26.95,133.6,Australia
GRANTS PASS,GTP,GTP,America/Los_Angeles,42.51,-123.3878,United States
GORONTALO,GTO,GTO,Asia/Makassar,0.63833,122.8522,Indonesia
XUZHOU,XUZ,XUZ,Asia/Chongqing,34.26667,117.1833,China
GUETTIN,GTI,GTI,Europe/Berlin,54.38333,12.31667,Germany
GRANTSBURG,GTG,GTG,America/Chicago,45.78333,-92.68333,United States
GREAT FALLS,GTF,GTF,America/Denver,47.5,-111.3667,United States
GROOTE EYLANDT,GTE,GTE,Australia/Darwin,-14,136.5,Australia
GATOKAE,GTA,GTA,Pacific/Guadalcanal,-8.75,158.2028,Solomon Islands
MONUMENT VALLEY,GMV,GMV,America/Denver,37,-110.2,United States
Orange,XOG,ORA,Europe/Paris,,,France
GRANITE MOUNTAIN,GMT,GMT,America/Anchorage,65.4,-161.2833,United States
GUIMARAES,GMS,GMS,America/Fortaleza,-2.13333,-44.6,Brazil
TOTEGEGIE,GMR,GMR,Pacific/Gambier,-23.03333,-134.9667,French Polynesia
GOMBE,GMO,,Africa/Lagos,10.29806,10.89889,Nigeria
GREYMOUTH,GMN,GMN,Pacific/Auckland,-42.46667,171.1833,New Zealand
GAMBOMA,GMM,GMM,Africa/Brazzaville,-1.93333,15.86667,Congo
POITIERS,PIS,PIS,Europe/Paris,46.5875,0.30667,France
GASMATA,GMI,GMI,Pacific/Port_Moresby,-6.3,150.3333,Papua New Guinea
NOUNA,XNU,NOU,Africa/Ouagadougou,12.73333,-3.86667,Burkina Faso
GOMEL,GME,GME,Europe/Minsk,52.41667,31,Belarus
XINGTAI,XNT,XNT,Asia/Shanghai,37.1,114.5,China
BEN SLIMANE,GMD,,Africa/Casablanca,33.65417,-7.22556,Morocco
GUERIMA,GMC,GMC,America/Bogota,3.63333,-71.16667,Colombia
GAMBELA,GMB,GMB,Africa/Addis_Ababa,8.28333,34.58333,Ethiopia
GEMENA,GMA,GMA,Africa/Kinshasa,3.26667,19.76667,"Congo, the Democratic Republic of the"
XINING,XNN,XNN,Asia/Chongqing,36.55,101.75,China
ERECHIM,ERM,ERM,America/Sao_Paulo,-27.58333,-52.01667,Brazil
BREDA,GLZ,BRD,Europe/Amsterdam,51.56667,4.91667,Netherlands
MOUNT GOLDSWORTHY,GLY,GLY,Australia/Perth,-20.08333,119.6667,Australia
GALELA,GLX,GLX,Asia/Jayapura,-2.18333,127.8333,Indonesia
GLASGOW,GLW,GLW,America/Chicago,37.03333,-85.95,United States
QUANG NGAI,XNG,XNG,Asia/Saigon,15.11667,108.75,Viet Nam
GOLOVIN,GLV,GLV,America/Anchorage,64.55,-163.0167,United States
GAINESVILLE,GNV,GNV,America/New_York,29.68333,-82.26667,United States
GOODNEWS BAY,GNU,GNU,America/Anchorage,59.11667,-161.5167,United States
GRANTS,GNT,GNT,America/Denver,35.15,-107.8667,United States
GUNUNG SITOLI,GNS,GNS,Asia/Jakarta,1.28333,97.61667,Indonesia
SAN PEDRO,XPD,XPD,America/Cordoba,-27.98333,-65.21667,Argentina
GENERAL ROCA,GNR,GNR,America/Cordoba,-39.03333,-67.58333,Argentina
PAMA,XPA,PAM,Africa/Ouagadougou,11.25,0.7,Burkina Faso
Greenville,,GNP,America/New_York,,,United States
GINIR,GNN,GNN,Africa/Addis_Ababa,7.15,40.71667,Ethiopia
GUANAMBI,GNM,GNM,America/Fortaleza,-14.21667,-42.78333,Brazil
Genk,,GNK,Europe/Brussels,50.58,5.3,Belgium
LYUDAO (GREEN ISLAND),GNI,GNI,Asia/Taipei,23.1,121.4667,"Taiwan, Province of China"
GOODING,GNG,GNG,America/Denver,42.91667,-114.7833,United States
QUINCY,GNF,GNF,America/Los_Angeles,39.94389,-120.9453,United States
GRENADA,GND,GND,America/Grenada,12.05,-61.73333,Grenada
MOSCONI,XOS,XOS,America/Cordoba,-23.3,-64.2,Argentina
Grenoble,,GNB,Europe/Paris,,,France
GRODNO,GNA,GNA,Europe/Vilnius,53.66667,23.8,Belarus
Lexington,,XON,America/New_York,45.26,-119.41,United States
SAN SEBASTIAN GOMERA,GMZ,,Atlantic/Canary,28.02972,-17.21472,Spain
NHULUNBUY,GOV,GOV,Australia/Darwin,-12.16667,136.6667,Australia
GAROUA,GOU,GOU,Africa/Douala,9.33333,13.36667,Cameroon
GOTEBORG,GOT,LAV,Europe/Stockholm,57.65,12.28333,Sweden
GOSFORD,GOS,GOS,Australia/Sydney,-33.43333,151.35,Australia
GORE,GOR,GOR,Africa/Addis_Ababa,8.16667,35.55,Ethiopia
GOLMUD,GOQ,GOQ,Asia/Chongqing,34.63333,98.86667,China
GORAKHPUR,GOP,GOP,Asia/Calcutta,26.73333,83.45,India
GOONDIWINDI,GOO,GOO,Australia/Brisbane,-28.51667,150.3167,Australia
GROTON,GON,GON,America/New_York,41.33333,-72.05,United States
GOMA,GOM,GOM,Africa/Kigali,-1.66667,29.23333,"Congo, the Democratic Republic of the"
GOLD BEACH,GOL,GOL,America/Los_Angeles,42.41667,-124.4167,United States
GUTHRIE,GOK,GOK,America/Chicago,35.88333,-97.41667,United States
WARTON,WRT,WRT,Europe/London,53.745,-2.88333,United Kingdom
NIZHNY NOVGOROD,GOJ,GOJ,Europe/Moscow,56.33333,44,Russian Federation
GOA,GOI,GOI,Asia/Calcutta,15.5,73.83333,India
NUUK,GOH,GOH,America/Godthab,64.16667,-51.71667,Greenland
GOBABIS,GOG,GOG,Africa/Windhoek,-22.5,18.96667,Namibia
GONAILI,GOE,GOE,Pacific/Port_Moresby,-5.38333,151.8667,Papua New Guinea
ALOR,ARD,ARD,Asia/Makassar,-8.25,124.75,Indonesia
GORA,GOC,GOC,Pacific/Port_Moresby,-8.41667,147.6667,Papua New Guinea
PINE RIDGE,XPR,XPR,America/Denver,43.01667,-102.5167,United States
GOBA,GOB,GOB,Africa/Addis_Ababa,7.13333,40.13333,Ethiopia
GENOA,GOA,GOA,Europe/Rome,44.41333,8.8375,Italy
POPLAR RIVER,XPP,,America/Winnipeg,53,-97.4,Canada
Portland,,XPO,America/Los_Angeles,40.55,-75.05,United States
BRAMPTON,XPN,BRP,America/Toronto,43.7,-79.76667,Canada
COMAYAGUA,XPL,CMY,America/Tegucigalpa,14.46667,-87.61667,Honduras
PUKATAWAGAN,XPK,,America/Winnipeg,55.8,-101.4167,Canada
GHANZI,GNZ,GNZ,Africa/Gaborone,-21.7,21.66667,Botswana
RICHMOND,XRH,,Australia/Sydney,-33.6,150.7667,Australia
GULFPORT,GPT,GPT,America/Chicago,30.4,-89.06667,United States
BALTRA ISLAND,GPS,GPS,Pacific/Galapagos,-0.43333,-90.26667,Ecuador
GENERAL PICO,GPO,GPO,America/Cordoba,-35.7,-63.75,Argentina
GARDEN POINT,GPN,GPN,Australia/Darwin,-11.4,130.4333,Australia
GUAPILES,GPL,,America/Costa_Rica,10.21667,-83.76667,Costa Rica
GUAPI,GPI,GPI,America/Bogota,2.58333,-77.9,Colombia
QUALICUM BEACH,XQU,,America/Vancouver,49.35,-124.45,Canada
BLOCK ISLAND,BID,BID,America/New_York,41.16667,-71.58333,United States
MOUNT GORDON MINE,GPD,,Australia/Brisbane,-19.99944,139.9178,Australia
ORPHEUS ISLAND,ORS,ORS,Australia/Brisbane,-18.63333,146.4833,Australia
GUARAPUAVA,GPB,GPB,America/Sao_Paulo,-25.38333,-51.45,Brazil
PATRAI,GPA,GPA,Europe/Athens,38.15111,21.42556,Greece
QUEPOS,XQP,XQP,America/Costa_Rica,9.45,-84.15,Costa Rica
Zelienople,,ZEL,America/New_York,,,United States
GORNA ORYAHOVITSA,GOZ,GOZ,Europe/Sofia,43.15139,25.71278,Bulgaria
GIRARDOT,GIR,GIR,America/Bogota,4.28333,-74.8,Colombia
KANTCHARI,XKA,KAN,Africa/Ouagadougou,12.48333,1.51667,Burkina Faso
MIELE MIMBALE,GIM,GIM,Africa/Libreville,-0.01667,11.4,Gabon
GILGIT,GIL,GIL,Asia/Karachi,35.91667,74.38333,Pakistan
SIGUIRI,GII,GII,Africa/Conakry,11.4,-9.18333,Guinea
WINTER HAVEN,GIF,GIF,America/New_York,28.06667,-81.75,United States
Giessen,,GIE,Europe/Berlin,50.35,8.39,Germany
GITEGA,GID,GID,Africa/Bujumbura,-3.41667,29.91667,Burundi
BOIGU ISLAND,GIC,GIC,Pacific/Port_Moresby,-9.26667,142.2,Australia
GIBRALTAR,GIB,GIB,Europe/Gibraltar,36.15111,-5.34972,Gibraltar
MANGLA,XJM,,Asia/Karachi,33.61667,73.1,Pakistan
GUALEGUAYCHU,GHU,GHU,America/Cordoba,-33.01667,-58.58333,Argentina
GHAT,GHT,GHT,Africa/Tripoli,24.96667,10.16667,Libya
SAN LUIS OBISPO,CSL,,America/Los_Angeles,35.31667,-120.7333,United States
GJOGUR,GJR,GJR,Atlantic/Reykjavik,65.99528,-21.32694,Iceland
LAC BROCHET,XLB,,America/Winnipeg,58.65,-97.36667,Canada
Richmond,,XLA,America/New_York,,,United States
Grand Junction,,GJN,America/Denver,35.03,-89.11,United States
GUAJARA MIRIM,GJM,GJM,America/Boa_Vista,-10.83333,-65.33333,Brazil
JIJEL,GJL,GJL,Africa/Algiers,36.8,5.88333,Algeria
KAYA,XKY,KAY,Africa/Ouagadougou,13.08333,-1.08333,Burkina Faso
Portage,,XKX,America/Chicago,,,United States
Atlanta,,TAT,America/New_York,33.06,-94.09,United States
KASABONIKA,XKS,XKS,America/Toronto,53.53333,-88.75,Canada
GUANAJA,GJA,GJA,America/Tegucigalpa,16.5,-85.91667,Honduras
KEMANO,XKO,,America/Vancouver,53.56667,-127.9333,Canada
GIZAN,GIZ,GIZ,Asia/Riyadh,16.93333,42.56667,Saudi Arabia
GIYANI,GIY,GIY,Africa/Johannesburg,-22.36667,29.98333,South Africa
PHONSAVAN,XKH,XKH,Asia/Vientiane,19.5,103,Lao People&#39;s Democratic Republic
SIGIRIYA,GIU,,Asia/Colombo,7.95,80.71667,Sri Lanka
GEITA,GIT,GIT,Africa/Dar_es_Salaam,-2.86667,32.16667,"Tanzania, United Republic of"
GISBORNE,GIS,GIS,Pacific/Auckland,-38.66333,177.9783,New Zealand
GATLINBURG,GKT,GKT,America/New_York,35.85,-82.03333,United States
Maubeuge,XME,MAU,Europe/Paris,,,France
MADISON,XMD,XMD,America/Chicago,44,-97.11667,United States
MALLACOOTA,XMC,XMC,Australia/Hobart,-37.6,149.7167,Australia
MARAMAG,XMA,XMA,Asia/Manila,7.76667,125,Philippines
KONGOBOUMBA,GKO,,Africa/Libreville,-0.08333,11.46667,Gabon
GULKANA,GKN,GKN,America/Anchorage,62.16667,-145.4667,United States
GREAT KEPPEL ISLA,GKL,GKL,Australia/Brisbane,-23.18333,150.95,Australia
KOODDOO ISLAND,GKK,,Indian/Maldives,0.73306,73.43417,Maldives
GORKHA,GKH,GKH,Asia/Katmandu,28,84.66667,Nepal
LEMWERDER,XLW,,Europe/Berlin,53.13333,8.61667,Germany
NIAGARA FALLS,XLV,NIA,America/New_York,43.08333,-79.1,Canada
LEO,XLU,LEO,Africa/Ouagadougou,11.1,-2.1,Burkina Faso
GEILENKIRCHEN,GKE,,Europe/Berlin,50.96083,6.0425,Germany
ST-LOUIS,XLS,XLS,Africa/Dakar,16.05,-16.45,Senegal
Libourne,XLR,LIB,Europe/Paris,,,France
GOROKA,GKA,GKA,Pacific/Port_Moresby,-6.05,145.3833,Papua New Guinea
LONG XUYEN,XLO,XLO,Asia/Saigon,10.48333,105.45,Viet Nam
GRAND JUNCTION,GJT,GJT,America/Denver,39.11667,-108.5167,United States
GELEPHU,GLU,,Asia/Thimphu,26.885,90.46444,Bhutan
GLADSTONE,GLT,GLT,Australia/Brisbane,-23.8,151.25,Australia
GALVESTON,GLS,GLS,America/Chicago,29.26667,-94.86667,United States
GAYLORD,GLR,GLR,America/New_York,45.01667,-84.7,United States
Glennallen,,GLQ,America/Anchorage,,,United States
GULGUBIP,GLP,GLP,Pacific/Port_Moresby,-5.28333,141.5167,Papua New Guinea
Narbonne,XNA,NAR,America/Chicago,,,France
GLOUCESTER CHELTENHAM,GLO,GLO,Europe/London,51.9,-2.16667,United Kingdom
GUELMIME,GLN,GLN,Africa/Casablanca,29.01667,-10.06667,Morocco
GLENORMISTON,GLM,GLM,Australia/Brisbane,-22.28333,138.3167,Australia
GOL,GLL,GLL,Europe/Oslo,60.78333,9.05,Norway
GALCAIO,GLK,GLK,Africa/Mogadishu,6.85,47.26667,Somalia
YAM ISLAND,XMY,XMY,TimeZoneNotFound,-10.48333,142.45,Australia
GLEN INNES,GLI,GLI,Australia/Sydney,-29.68333,151.7,Australia
Graulhet,,GLH,Europe/Paris,,,France
Savannah,,XMX,America/New_York,,,United States
GLENGYLE,GLG,GLG,Australia/Brisbane,-24.76667,139.5833,Australia
Mansfield,,XMW,America/New_York,35.04,-94.15,United States
GOLFITO,GLF,GLF,America/Costa_Rica,8.66667,-83.08333,Costa Rica
PICHANAL,XMV,XMV,America/Cordoba,-23.3,-64.16667,Argentina
GAINESVILLE,GLE,GLE,America/Chicago,33.61667,-97.13333,United States
Moulins,XMU,MOU,Europe/Paris,46.34,3.2,France
GOODLAND,GLD,GLD,America/Denver,39.36667,-101.7,United States
MACAS,XMS,XMS,America/Guayaquil,-2.31667,-78.11667,Ecuador
GELADI,GLC,,Africa/Addis_Ababa,6.96667,46.41667,Ethiopia
GLOBE,GLB,GLB,America/Phoenix,33.35306,-110.6672,United States
Marmande,XMR,MAR,Europe/Paris,,,France
GLASGOW,GLA,GLA,Europe/London,55.88333,-4.25,United Kingdom
MACMILLAN PASS,XMP,,America/Vancouver,62.86667,-135.9167,Canada
XIAMEN,XMN,XMN,Asia/Chongqing,24.46667,118.1167,China
MINLATON,XML,XML,Australia/Adelaide,-34.76667,137.6,Australia
Mont-de-Marsan,XMJ,MDM,Europe/Paris,43.53,-0.3,France
MASASI,XMI,XMI,Africa/Dar_es_Salaam,-10.73333,38.76667,"Tanzania, United Republic of"
MANIHI,XMH,XMH,Pacific/Tahiti,-14.43333,-146.0667,French Polynesia
MAHENDRANAGAR,XMG,XMG,Asia/Katmandu,28.96667,80.15,Nepal
Montbeliard,XMF,MTD,Europe/Paris,,,France
MONGOMO,GEM,,Africa/Malabo,1.69139,11.02389,Equatorial Guinea
SANTO ANGELO,GEL,GEL,America/Sao_Paulo,-28.26667,-54.26667,Brazil
Geilo,,GEI,Europe/Oslo,,,Norway
Christmas Valley,,6CV,America/Los_Angeles,43.14,-120.38,United States
FINKENWERDER,XFW,XFW,Europe/Berlin,53.51667,9.86667,Germany
SPOKANE,GEG,GEG,America/Los_Angeles,47.61667,-117.5167,United States
GEVA,GEF,GEF,Pacific/Guadalcanal,-7.56667,156.5833,Solomon Islands
BRANTFORD,XFV,,America/Toronto,43.15,-80.28333,Canada
GEORGE TOWN,GEE,GEE,Australia/Melbourne,-41.06667,146.8,Australia
Iselin,,INJ,America/New_York,,,United States
GEORGETOWN,GED,GED,America/New_York,38.68333,-75.36667,United States
GECITKALE,GEC,GEC,Asia/Nicosia,35.23611,33.72,Cyprus
GEBE,GEB,GEB,Asia/Jayapura,-0.08333,129.3333,Indonesia
Gera,,GEA,Europe/Berlin,,,Germany
XIANGYANG,XFN,,Asia/Chongqing,32.05,112.0833,China
SHAWINIGAN,XFL,SHA,America/New_York,46.55,-72.75,Canada
Fremont,,XFK,America/New_York,,,United States
GELENDZHIK,GDZ,GDZ,Europe/Moscow,44.56667,38.01667,Russian Federation
Gdynia,,GDY,Europe/Warsaw,54.3,18.33,Poland
MAGADAN,GDX,GDX,Asia/Magadan,59.91667,150.7167,Russian Federation
GLADWIN,GDW,GDW,America/New_York,43.98333,-84.48333,United States
GLENDIVE,GDV,GDV,America/Denver,47.13333,-104.6833,United States
GRAND TURK,GDT,GDT,America/Grand_Turk,21.56667,-71.16667,Turks and Caicos Islands
Gerstetten,,GE5,Europe/Berlin,48.38,10.02,Germany
GONDER,GDQ,GDQ,Africa/Addis_Ababa,12.51667,37.41667,Ethiopia
GUADALUPE,GDP,GDP,America/Fortaleza,-6.76667,-43.56667,Brazil
GUASDUALITO,GDO,GDO,America/Caracas,7.23333,-70.8,"Venezuela, Bolivarian Republic of"
GDANSK,GDN,GDN,Europe/Warsaw,54.3775,18.46611,Poland
BARTICA,GFO,GFO,America/Guyana,6.41667,-58.58333,Guyana
GRAFTON,GFN,GFN,Australia/Sydney,-29.66667,153,Australia
GLENS FALLS,GFL,GFL,America/New_York,43.35,-73.61667,United States
