[Dep] Status,[Dep] Routing,[Dep] Airline code,[Dep] Service Type,[Dep] Flight Designator,[Dep] SOBT
"Flight activated","NLU-GDL","AM","J","AM 284","20JAN 18:18",
"Flight activated","NLU-VER","VB","J","VB 7434","20JAN 18:25",
"Flight activated","NLU-HMO","VB","J","VB 9304","20JAN 18:30",
"Flight activated","NLU-OAX","AM","J","AM 2042","20JAN 18:35",
"Flight activated","NLU-MID","VB","J","VB 6017","20JAN 18:55",
"Flight activated","NLU-GDL","VB","J","VB 9522","20JAN 19:00",
"Flight activated","NLU-BOG","VB","J","VB 770","20JAN 19:00",
"Flight activated","NLU-MTY","XN","J","XN 1106","20JAN 19:20",
"Flight activated","NLU-GDL","XN","J","XN 1436","20JAN 20:00",
"Flight activated","NLU-MTY","VB","J","VB 7017","20JAN 21:20",
"Flight activated","NLU-VER","AM","J","AM 872","20JAN 21:30",
"Flight activated","NLU-GDL","VB","J","VB 7305","20JAN 21:30",
"Flight activated","NLU-CJS","VB","J","VB 7435","20JAN 21:50",
"Flight activated","NLU-TIJ","XN","J","XN 1204","20JAN 21:55",
"Flight activated","NLU-MTY","AM","J","AM 998","20JAN 21:57",
"Flight activated","NLU-TIJ","Y4","J","Y4 3297","20JAN 23:19",
"Flight activated","NLU-PUJ","DM","J","DM 7105","21JAN 00:32",
"Flight activated","NLU-BOG","Y4","J","Y4 3960","21JAN 00:36",
"Flight activated","NLU-GDL","VB","J","VB 9520","21JAN 06:00",
"Flight activated","NLU-MID","VB","J","VB 9412","21JAN 06:00",
"Flight activated","NLU-MTY","VB","J","VB 7382","21JAN 06:00",
"Flight activated","NLU-MTY","XN","J","XN 1100","21JAN 06:00",
"Flight activated","NLU-CUN","VB","J","VB 2281","21JAN 06:15",
"Flight activated","NLU-GDL","XN","J","XN 1430","21JAN 06:30",
"Flight activated","NLU-GDL","Y4","J","Y4 1291","21JAN 06:30",
"Flight activated","NLU-PXM","VB","J","VB 9222","21JAN 06:40",
"Flight activated","NLU-MID","XN","J","XN 1760","21JAN 06:50",
"Flight scheduled","NLU-TQO","VB","J","VB 7240","21JAN 07:45",
"Flight scheduled","NLU-CUU","VB","J","VB 7344","21JAN 08:00",
"Flight scheduled","NLU-CVM","ZV","J","ZV 362","21JAN 08:00",
"Flight scheduled","NLU-VSA","VB","J","VB 7332","21JAN 08:05",
"Flight scheduled","NLU-TQO","AM","J","AM 592","21JAN 08:16",
"Flight scheduled","NLU-NLD","VB","J","VB 9450","21JAN 08:20",
"Flight scheduled","NLU-CLQ","AM","J","AM 2436","21JAN 08:24",
"Flight scheduled","NLU-CTM","VB","J","VB 9462","21JAN 08:25",
"Flight scheduled","NLU-CUN","VB","J","VB 2273","21JAN 08:30",
"Flight scheduled","NLU-PVR","VB","J","VB 7350","21JAN 08:35",
"Flight scheduled","NLU-TQO","XN","J","XN 1780","21JAN 08:50",
"Flight scheduled","NLU-ZIH","VB","J","VB 9312","21JAN 10:00",
"Flight scheduled","NLU-CPE","XN","J","XN 1700","21JAN 10:30",
"Flight scheduled","NLU-HUX","VB","J","VB 9294","21JAN 10:35",
"Flight scheduled","NLU-CUN","Y4","J","Y4 3533","21JAN 10:44",
"Flight scheduled","NLU-CVM","XN","J","XN 1142","21JAN 11:00",
"Flight scheduled","NLU-MTY","VB","J","VB 9402","21JAN 11:05",
"Flight scheduled","NLU-TGZ","VB","J","VB 7428","21JAN 11:45",
"Flight scheduled","NLU-IZT","XN","J","XN 1992","21JAN 12:10",
"Flight scheduled","NLU-SJD","Y4","J","Y4 7120","21JAN 12:14",
"Flight scheduled","NLU-MTY","VB","J","VB 7333","21JAN 12:20",
"Flight scheduled","NLU-MID","AM","J","AM 878","21JAN 12:23",
"Flight scheduled","NLU-CVM","ZV","J","ZV 360","21JAN 12:35",
"Flight scheduled","NLU-CUL","VB","J","VB 7416","21JAN 12:45",
"Flight scheduled","NLU-MID","VB","J","VB 7351","21JAN 13:00",
"Flight scheduled","NLU-GDL","VB","J","VB 7241","21JAN 13:10",
"Flight scheduled","NLU-CUN","AM","J","AM 596","21JAN 13:34",
"Flight scheduled","NLU-BJX","VB","J","VB 7345","21JAN 13:35",
"Flight scheduled","NLU-SLW","VB","J","VB 9394","21JAN 13:35",
"Flight scheduled","NLU-MZT","VB","J","VB 9234","21JAN 13:40",
"Flight scheduled","NLU-REX","VB","J","VB 9386","21JAN 14:05",
"Flight scheduled","NLU-PVR","AM","J","AM 880","21JAN 14:07",
"Flight scheduled","NLU-MAM","VB","J","VB 9532","21JAN 14:45",
"Flight scheduled","NLU-OAX","VB","J","VB 7008","21JAN 15:40",
"Flight scheduled","NLU-MTY","VB","J","VB 7820","21JAN 15:50",
"Flight scheduled","NLU-TIJ","VB","J","VB 7429","21JAN 16:25",
"Flight scheduled","NLU-TIJ","VB","J","VB 5069","21JAN 17:10",
"Flight scheduled","NLU-GDL","Y4","J","Y4 1293","21JAN 17:15",
"Flight scheduled","NLU-DGO","AM","J","AM 2600","21JAN 17:35",
"Flight scheduled","NLU-MID","Y4","J","Y4 7110","21JAN 17:43",
"Flight scheduled","NLU-LAP","VB","J","VB 9298","21JAN 17:55",
"Flight scheduled","NLU-ACA","VB","J","VB 7016","21JAN 17:55",
"Flight scheduled","NLU-TAM","VB","J","VB 7304","21JAN 18:10",
"Flight scheduled","NLU-CUN","VB","J","VB 7417","21JAN 18:10",
"Flight scheduled","NLU-VER","VB","J","VB 7434","21JAN 18:25",
"Flight scheduled","NLU-HMO","VB","J","VB 9304","21JAN 18:30",
"Flight scheduled","NLU-OAX","AM","J","AM 2042","21JAN 18:35",
"Flight scheduled","NLU-PXM","VB","J","VB 7282","21JAN 18:50",
"Flight scheduled","NLU-BOG","VB","J","VB 770","21JAN 19:00",
"Flight scheduled","NLU-CUN","VB","J","VB 7009","21JAN 19:00",
"Flight scheduled","NLU-MTY","XN","J","XN 1106","21JAN 19:20",
"Flight scheduled","NLU-PUJ","DM","J","DM 7101","21JAN 19:22",
"Flight scheduled","NLU-GDL","XN","J","XN 1436","21JAN 20:00",
"Flight scheduled","NLU-MTY","VB","J","VB 7017","21JAN 21:20",
"Flight scheduled","NLU-VER","AM","J","AM 872","21JAN 21:30",
"Flight scheduled","NLU-GDL","VB","J","VB 7305","21JAN 21:30",
"Flight scheduled","NLU-GDL","AM","J","AM 284","21JAN 21:44",
"Flight scheduled","NLU-CJS","VB","J","VB 7435","21JAN 21:50",
"Flight scheduled","NLU-TIJ","XN","J","XN 1204","21JAN 21:55",
"Flight scheduled","NLU-MTY","AM","J","AM 998","21JAN 21:57",
"Flight scheduled","NLU-MID","VB","J","VB 7283","21JAN 22:50",
"Flight scheduled","NLU-SDQ","DM","J","DM 4159","21JAN 23:44",
"Flight scheduled","NLU-GDL","VB","J","VB 9520","22JAN 06:00",
"Flight scheduled","NLU-MTY","XN","J","XN 1100","22JAN 06:00",
"Flight scheduled","NLU-HAV","VB","J","VB 842","22JAN 06:00",
"Flight scheduled","NLU-MTY","VB","J","VB 7378","22JAN 06:00",
"Flight scheduled","NLU-CUN","VB","J","VB 2281","22JAN 06:15",
"Flight scheduled","NLU-GDL","Y4","J","Y4 1291","22JAN 06:30",
"Flight scheduled","NLU-GDL","XN","J","XN 1430","22JAN 06:30",
