[Arr] Status,[Arr] Routing,[Arr] Airline code,[Arr] Service Type,[Arr] Flight Designator,[Arr] SIBT,[Dep] Status,[Dep] Routing,[Dep] Airline code,[Dep] Service Type,[Dep] Flight Designator,[Dep] SOBT
"Flight scheduled","FRA-NLU","LH","F","LH 8220","08FEB 22:40","Flight scheduled","NLU-FRA","LH","F","LH 8221","09FEB 01:10",
"Flight scheduled","YYZ-NLU","AC","F","AC 7248","07FEB 03:40","Flight scheduled","NLU-DFW","AC","F","AC 7248","07FEB 07:15",
"Flight scheduled","LUX-NLU","CV","F","CV 6687","08FEB 14:05","Flight scheduled","NLU-GDL","CV","F","CV 6697","08FEB 16:05",
"Flight scheduled","CVG-NLU","W8","F","W8 952","06FEB 09:45","Flight scheduled","NLU-CVG","W8","F","W8 951","06FEB 21:00",
"Flight scheduled","LAX-NLU","M7","F","M7 8877","08FEB 14:00","Flight scheduled","NLU-LAX","M7","F","M7 8818","09FEB 05:00",
"Flight scheduled","LAX-NLU","M7","F","M7 8865","07FEB 13:20","Flight scheduled","NLU-LAX","M7","F","M7 6810","07FEB 20:55",
"Flight scheduled","HRB-NLU","CZ","F","CZ 2659","07FEB 17:05","Flight scheduled","NLU-PVG","CZ","F","CZ 2660","07FEB 20:05",
"Flight scheduled","LGG-NLU","TK","F","TK 6087","08FEB 13:30","Flight scheduled","NLU-IAH","TK","F","TK 6088","15FEB 16:00",
"Flight scheduled","CDG-NLU","AF","F","AF 6722","06FEB 18:40","Flight scheduled","NLU-CDG","AF","F","AF 6723","06FEB 21:20",
"Flight scheduled","ANC-NLU","CA","F","CA 3183","07FEB 08:50","Flight scheduled","NLU-LAX","CA","F","CA 3184","07FEB 11:20",
"Flight scheduled","ANC-NLU","CZ","F","CZ 2525","06FEB 17:05","Flight scheduled","NLU-PVG","CZ","F","CZ 2526","06FEB 20:05",
"Flight scheduled","ANC-NLU","CX","F","CX 3284","08FEB 10:00","Flight scheduled","NLU-GDL","CX","F","CX 077","08FEB 12:00",
"Flight scheduled","YYZ-NLU","AC","F","AC 7246","08FEB 03:40","Flight scheduled","NLU-GDL","AC","F","AC 7246","08FEB 07:15",
"Flight scheduled","UIO-NLU","M7","F","M7 8750","06FEB 14:50","Flight scheduled","NLU-LAX","M7","F","M7 8860","06FEB 16:50",
"Flight scheduled","ANC-NLU","M7","F","M7 3228","08FEB 09:55","Flight scheduled","NLU-ANC","M7","F","M7 3935","09FEB 15:40",
"Flight scheduled","ANC-NLU","M7","F","M7 3228","06FEB 10:50","Flight scheduled","NLU-LAX","M7","F","M7 3618","08FEB 02:00",
"Flight scheduled","GDL-NLU","M7","F","M7 6811","08FEB 11:30","Flight scheduled","NLU-UIO","M7","F","M7 8775","08FEB 16:00",
"Flight scheduled","UIO-NLU","M7","F","M7 6442","06FEB 15:55","Flight scheduled","NLU-LAX","M7","F","M7 8864","07FEB 03:30",
"Flight scheduled","UIO-NLU","M7","F","M7 6711","07FEB 22:00","Flight scheduled","NLU-LAX","M7","F","M7 6810","08FEB 00:00",
"Flight scheduled","ZAZ-NLU","ET","F","ET 3516","07FEB 21:20","Flight scheduled","NLU-BOG","ET","F","ET 3516","07FEB 23:05",
"Flight scheduled","ZAZ-NLU","EK","F","EK 9915","08FEB 01:50","Flight scheduled","NLU-UIO","EK","F","EK 9915","08FEB 06:15",
"Flight scheduled","LUX-NLU","CV","F","CV 6686","07FEB 18:05","Flight scheduled","NLU-ORD","CV","F","CV 6696","07FEB 19:50",
"Flight scheduled","ANC-NLU","CV","F","CV 5165","07FEB 04:10","Flight scheduled","NLU-GDL","CV","F","CV 5166","07FEB 06:10",
"Flight scheduled","CVG-NLU","W8","F","W8 905","08FEB 10:15","Flight scheduled","NLU-CVG","W8","F","W8 906","08FEB 11:45",
"Flight scheduled","GUA-NLU","L3","F","L3 5218","06FEB 14:20","Flight scheduled","NLU-GUA","L3","F","L3 5217","06FEB 15:50",
"Flight scheduled","GUA-NLU","L3","F","L3 6218","08FEB 09:30","Flight scheduled","NLU-GUA","L3","F","L3 6217","08FEB 11:00",
