[Arr] Status,[Arr] Routing,[Arr] Airline code,[Arr] Service Type,[Arr] Flight Designator,[Arr] SIBT,[Dep] Status,[Dep] Routing,[Dep] Airline code,[Dep] Service Type,[Dep] Flight Designator,[Dep] SOBT
"Departed from previous airport","VSA-NLU","VB","J","VB 7333","04FEB 11:45","Departed from previous airport","NLU-MTY","VB","J","VB 7333","04FEB 12:20",
"Departed from previous airport","CLQ-NLU","AM","J","AM 2437","04FEB 11:43","Departed from previous airport","NLU-MID","AM","J","AM 878","04FEB 12:23",
"Departed from previous airport","CUN-NLU","VB","J","VB 7416","04FEB 12:00","Departed from previous airport","NLU-CUL","VB","J","VB 7416","04FEB 12:50",
"Departed from previous airport","PVR-NLU","VB","J","VB 7351","04FEB 12:20","Departed from previous airport","NLU-MID","VB","J","VB 7351","04FEB 13:00",
"Departed from previous airport","CUN-NLU","AM","J","AM 591","04FEB 11:54","Flight activated","NLU-CUN","AM","J","AM 596","04FEB 13:34",
"Departed from previous airport","NLD-NLU","VB","J","VB 9451","04FEB 12:05","Flight activated","NLU-SLW","VB","J","VB 9394","04FEB 13:35",
"Departed from previous airport","CUU-NLU","VB","J","VB 7345","04FEB 13:05","Flight activated","NLU-BJX","VB","J","VB 7345","04FEB 13:35",
"Departed from previous airport","TQO-NLU","VB","J","VB 7241","04FEB 12:55","Flight activated","NLU-GDL","VB","J","VB 7241","04FEB 13:40",
"Departed from previous airport","CTM-NLU","VB","J","VB 9463","04FEB 13:05","Flight activated","NLU-REX","VB","J","VB 9386","04FEB 14:05",
"Departed from previous airport","TQO-NLU","AM","J","AM 593","04FEB 13:17","Flight activated","NLU-PVR","AM","J","AM 880","04FEB 14:11",
"Flight activated","CUN-NLU","Y4","J","Y4 3532","04FEB 16:20","Flight activated","NLU-GDL","Y4","J","Y4 1293","04FEB 17:15",
"Flight activated","MID-NLU","AM","J","AM 875","04FEB 16:55","Flight activated","NLU-DGO","AM","J","AM 2600","04FEB 17:35",
"Flight activated","SJD-NLU","Y4","J","Y4 7121","04FEB 17:04","Flight activated","NLU-MID","Y4","J","Y4 7110","04FEB 17:43",
"Flight scheduled","ZIH-NLU","VB","J","VB 9313","04FEB 12:45","Flight activated","NLU-MZT","VB","J","VB 9234","04FEB 13:40",
"Flight scheduled","HUX-NLU","VB","J","VB 9295","04FEB 13:55","Flight activated","NLU-MAM","VB","J","VB 9532","04FEB 14:45",
"Flight scheduled","CUN-NLU","VB","J","VB 7008","04FEB 15:05","Flight activated","NLU-OAX","VB","J","VB 7008","04FEB 15:40",
"Flight scheduled","TGZ-NLU","VB","J","VB 7429","04FEB 15:45","Flight activated","NLU-TIJ","VB","J","VB 7429","04FEB 16:25",
"Flight scheduled","MTY-NLU","AM","J","AM 995","04FEB 17:09","Flight activated","NLU-MTY","AM","J","AM 998","04FEB 17:54",
"Flight scheduled","SLW-NLU","VB","J","VB 9395","04FEB 17:15","Flight activated","NLU-LAP","VB","J","VB 9298","04FEB 17:55",
"Flight scheduled","MTY-NLU","VB","J","VB 7016","04FEB 17:25","Flight activated","NLU-ACA","VB","J","VB 7016","04FEB 17:55",
"Flight scheduled","CUL-NLU","VB","J","VB 7417","04FEB 17:25","Flight activated","NLU-CUN","VB","J","VB 7417","04FEB 18:10",
"Flight scheduled","GDL-NLU","VB","J","VB 7304","04FEB 17:40","Flight activated","NLU-TAM","VB","J","VB 7304","04FEB 18:10",
"Flight scheduled","MZT-NLU","VB","J","VB 9235","04FEB 17:40","Flight activated","NLU-HMO","VB","J","VB 9304","04FEB 18:20",
"Flight scheduled","PVR-NLU","AM","J","AM 881","04FEB 17:55","Flight activated","NLU-OAX","AM","J","AM 2042","04FEB 18:35",
